hostname,eth_up_max,log_count
bkj-9848453a,19603748538,23232
bkj-3423bc1f,19603578166,27032
bkj-1eaaac5e,19084486644,28800
bkj-52736c49,19066017342,28798
bkj-e2d5fe94,13784238532,28799
bkj-12d9df8c,12816424615,28797
bkj-eb1f0302,12810203395,28798
bkj-39998201,12807565928,28799
bkj-3fd5f9de,12803346179,28799
bkj-e5b125d3,12801601859,28797
bkj-a1d20762,12800296891,28799
bkj-12cec7b7,12799034088,28797
bkj-a65c47e1,12797303099,28799
bkj-431aa277,12386642659,28734
bkj-4eb57410,10842741916,28794
bkj-20b376e7,10829200892,28800
bkj-94fd2291,10491905345,28799
bkj-f72976e9,10321327660,28797
bkj-051dd2f4,9887687472,28799
bkj-6ae6f464,9869580855,28799
bkj-91b94fe1,9855082128,28798
bkj-25ca089a,9852964391,28799
bkj-fa446ca1,9848026307,28799
bkj-c1982c22,9847929798,28799
bkj-95190065,9847797902,3001
bkj-c3e5499c,9847091124,28798
bkj-78fd99ea,9846722858,28799
bkj-fe070107,9846699239,28799
bkj-28922939,9846619554,28164
bkj-c5e993e8,9846584325,28798
bkj-c23aafa1,9846493076,2960
bkj-b4ea983d,9846480636,28798
bkj-cdac923e,9846383431,28798
bkj-16d1a373,9846251127,28798
bkj-8dea45dd,9845603032,28797
bkj-cb4cbc87,9845480182,28798
bkj-ae78b4c5,9845383840,28799
bkj-37327559,9844907669,28800
bkj-49955fc3,9844686063,28800
bkj-a585e12a,9844556140,28799
bkj-34e88efa,9844502884,28798
bkj-3ce64e05,9844492646,28800
bkj-47527533,9844354033,28800
bkj-439a41a1,9843343050,28800
bkj-368f5f5f,9843217401,28799
bkj-d0930c53,9840219394,28799
bkj-66bce742,9839377165,28799
bkj-4b43f1e2,9354856957,28800
bkj-f1a90f8a,8864007430,28799
bkj-37bfb13c,8861971418,28410
bkj-0129792f,8860062067,28799
bkj-ca4d44be,8304721920,28741
bkj-26275b6a,7549747200,28595
bkj-ca6e8b96,7491182300,28797
bkj-d13a361d,7385241340,28789
bkj-07c79f45,7081728980,28796
bkj-47b47dcf,7046430720,28800
bkj-98d38c86,7046430720,28781
bkj-2d553421,7032131424,28800
bkj-b95d35a1,6979321856,28798
bkj-9a92740e,6880625200,28796
bkj-70d3941b,6752829440,27164
bkj-5c7fddc5,6752829440,9460
bkj-c13b214f,6747596754,28798
bkj-817523e9,6636807485,5153
bkj-622898b4,6628337826,2447
bkj-073a486f,6619434690,5154
bkj-de40f807,6586829765,28798
bkj-c6e26b8f,6459228160,28799
bkj-50374712,6459228160,28306
bkj-7cb9b22f,6332812902,28799
bkj-3d8f0124,6291456000,28800
bkj-3049be77,6291456000,28799
bkj-f14f552d,6291456000,28798
bkj-8c4f8240,6291456000,28798
bkj-551983b4,6291456000,9874
bkj-ba0a02bf,6291456000,9870
bkj-ae4b07de,6273726750,9696
bkj-0533826f,6150111150,28798
bkj-5a4b064e,6137205804,28791
bkj-2149b49d,6115199700,9860
bkj-d80ef5bd,6081740800,28791
bkj-c5fefbdc,6065596155,28796
bkj-cfdfbbb0,6033180816,28798
bkj-8d2855e2,5978688960,28780
bkj-6ed49a1b,5966994696,27928
bkj-211983e3,5936330620,28799
